peak_power,peak_freq,auc_power,total_energy,sample_entropy,mean_acceleration,label
4.508269881434889e-06,0.390625,1.1046902904167635e-05,3.833332044242792e-05,0.7639871070293364,0.005563558043848774,1
2.6017375340303572e-06,0.390625,8.060466669155883e-06,2.940321853390378e-05,0.857050092152308,0.004717493548021182,0
4.262163450138853e-06,0.390625,1.5045789667611446e-05,6.755888337894252e-05,1.5797052327666716,0.007033509931687705,1
2.3618206999366727e-05,0.78125,5.222861137303934e-05,0.00011221715327269452,0.7202891981838033,0.006381528385483841,1
1.0277457339410464e-05,0.78125,2.77138429691646e-05,0.00010201285851975557,0.9685482388554446,0.008345397216597291,1
1.5278616605370306e-06,0.390625,8.021729442611416e-06,4.351633237542143e-05,1.2852752687614428,0.006087358360639406,1
4.8099209106342355e-06,0.390625,2.859293119546862e-05,0.00010823762289940977,1.217529933345637,0.008975086978162378,1
6.8943250536022255e-06,0.390625,2.0200398154374125e-05,8.51097692859525e-05,0.977314700531857,0.008427705883218044,1
1.8885929047074918e-06,0.390625,7.985290035099933e-06,3.2233986929866974e-05,0.9666140186736251,0.005300080332505642,1
5.752783062045633e-07,1.171875,2.648742469412061e-06,1.2060184294987128e-05,1.3803994042920198,0.0031331627567586892,1
2.91267127367991e-06,0.390625,7.781274091511066e-06,3.3903115063933686e-05,1.0343163535874151,0.005289958876498321,0
1.3514969323702948e-06,1.171875,4.244062165967089e-06,1.2671090442094e-05,0.8581057559721874,0.0030887104970380402,1
4.04620486050969e-06,0.390625,1.970731258792379e-05,0.00010424995355001038,1.047199807612853,0.009006706208678097,0
0.0012075165311143182,0.390625,0.0031594772771065868,0.008332600044740783,0.6206749999687923,0.06332443118184994,1
2.435163250969305e-06,0.390625,8.367484403058368e-06,3.6767203796578404e-05,1.2889556570953034,0.005638971127703832,1
1.3090575842194114e-05,0.78125,3.354779026319093e-05,0.00010564906127179225,0.9991133632913397,0.007716197714149281,1
3.6535647486885832e-06,0.390625,1.0888992717261377e-05,5.569629344288612e-05,0.7682736786657223,0.00729043277969122,0
2.3896698976853023e-06,0.390625,9.458049006174232e-06,4.079791690228387e-05,1.2001535308977598,0.005695182153798195,1
2.679910472646199e-06,1.171875,1.0835360567498538e-05,3.9391592144421864e-05,0.8061383841478211,0.005351760033270739,0
0.00017461435247107494,0.390625,0.00028860700431283684,0.002861565626249641,0.8285488324977272,0.0554725397164636,1
3.3487206957215315e-06,0.390625,1.6687233895047734e-05,7.158401587576595e-05,0.9572152072823663,0.008276670825195745,0
0.00048820061690494753,12.109375,0.0009598929019716037,0.004765475019862572,0.5704099575667273,0.05619290327058804,1
1.9347138075950653e-05,0.78125,7.793213647090398e-05,0.00024749822836542853,1.1214493038421687,0.013061738534656395,1
1.61836555807144e-05,0.390625,2.4390644270947466e-05,8.649999582901047e-05,0.6862590315327302,0.007916192744701449,0
1.871947341014279e-05,0.78125,4.565773288486761e-05,0.00011634626747320105,0.6577422690416436,0.007382861955217291,0
2.812291312023931e-06,0.390625,7.037848966516071e-06,2.8225221528857936e-05,0.7975319485292308,0.004775593597018361,0
7.393063738544193e-06,0.390625,1.2249520177079581e-05,2.67902916960656e-05,0.910521027314327,0.004008328678720695,1
2.5145207334977465e-05,0.390625,3.831148169295908e-05,0.00010307534369092306,0.5870206362995545,0.008155578970847866,0
1.1577076478133767e-05,0.390625,2.7282536185342495e-05,8.724322271323634e-05,0.955225260723235,0.007698323068930547,1
